model_id,downloads,tasks,parameters,tags,license,datasets,model_name,metrics,base_model,languages
NbAiLab/nb-wav2vec2-1b-bokmaal-v2,1880368,automatic-speech-recognition,962549929.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
openai/whisper-small,1854932,automatic-speech-recognition,241734912.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'hf-asr-leaderboard', 'en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su', 'arxiv:2212.04356', 'license:apache-2.0', 'model-index', 'endpoints_compatible', 'region:us']",apache-2.0,,whisper-small,,,"['en', 'zh', 'de', 'es', 'ru', 'ko', 'fr', 'ja', 'pt', 'tr', 'pl', 'ca', 'nl', 'ar', 'sv', 'it', 'id', 'hi', 'fi', 'vi', 'he', 'uk', 'el', 'ms', 'cs', 'ro', 'da', 'hu', 'ta', 'no', 'th', 'ur', 'hr', 'bg', 'lt', 'la', 'mi', 'ml', 'cy', 'sk', 'te', 'fa', 'lv', 'bn', 'sr', 'az', 'sl', 'kn', 'et', 'mk', 'br', 'eu', 'is', 'hy', 'ne', 'mn', 'bs', 'kk', 'sq', 'sw', 'gl', 'mr', 'pa', 'si', 'km', 'sn', 'yo', 'so', 'af', 'oc', 'ka', 'be', 'tg', 'sd', 'gu', 'am', 'yi', 'lo', 'uz', 'fo', 'ht', 'ps', 'tk', 'nn', 'mt', 'sa', 'lb', 'my', 'bo', 'tl', 'mg', 'as', 'tt', 'haw', 'ln', 'ha', 'ba', 'jw', 'su']"
opensearch-project/opensearch-neural-sparse-encoding-doc-v2-distill,1852539,fill-mask,66985530.0,"['transformers', 'pytorch', 'safetensors', 'distilbert', 'fill-mask', 'learned sparse', 'opensearch', 'retrieval', 'passage-retrieval', 'document-expansion', 'bag-of-words', 'en', 'arxiv:2411.04403', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,en
trl-internal-testing/tiny-random-LlamaForCausalLM,1836576,text-generation,1032276.0,"['transformers', 'pytorch', 'safetensors', 'llama', 'text-generation', 'arxiv:1910.09700', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
speechbrain/spkrec-ecapa-voxceleb,1822882,,,"['speechbrain', 'embeddings', 'Speaker', 'Verification', 'Identification', 'pytorch', 'ECAPA', 'TDNN', 'en', 'dataset:voxceleb', 'arxiv:2106.04624', 'license:apache-2.0', 'region:us']",apache-2.0,['voxceleb'],,['EER'],,en
MaziyarPanahi/Meta-Llama-3.1-405B-Instruct-GGUF,1817274,text-generation,,"['gguf', 'quantized', '2-bit', '3-bit', 'GGUF', 'text-generation', 'en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th', 'base_model:meta-llama/Llama-3.1-405B-Instruct', 'base_model:quantized:meta-llama/Llama-3.1-405B-Instruct', 'license:llama3.1', 'region:us', 'conversational']",llama3.1,,Meta-Llama-3.1-405B-Instruct-GGUF,,meta-llama/Meta-Llama-3.1-405B-Instruct,"['en', 'de', 'fr', 'it', 'pt', 'hi', 'es', 'th']"
sentence-transformers/multi-qa-mpnet-base-dot-v1,1808622,sentence-similarity,109486978.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'openvino', 'mpnet', 'fill-mask', 'feature-extraction', 'sentence-similarity', 'transformers', 'en', 'dataset:flax-sentence-embeddings/stackexchange_xml', 'dataset:ms_marco', 'dataset:gooaq', 'dataset:yahoo_answers_topics', 'dataset:search_qa', 'dataset:eli5', 'dataset:natural_questions', 'dataset:trivia_qa', 'dataset:embedding-data/QQP', 'dataset:embedding-data/PAQ_pairs', 'dataset:embedding-data/Amazon-QA', 'dataset:embedding-data/WikiAnswers', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,"['flax-sentence-embeddings/stackexchange_xml', 'ms_marco', 'gooaq', 'yahoo_answers_topics', 'search_qa', 'eli5', 'natural_questions', 'trivia_qa', 'embedding-data/QQP', 'embedding-data/PAQ_pairs', 'embedding-data/Amazon-QA', 'embedding-data/WikiAnswers']",,,,['en']
jinaai/jina-clip-v1,1795339,feature-extraction,222672128.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'jina_clip', 'feature-extraction', 'sentence-similarity', 'mteb', 'clip', 'vision', 'transformers.js', 'custom_code', 'en', 'arxiv:2405.20204', 'license:apache-2.0', 'region:eu']",apache-2.0,,,,,en
sentence-transformers/bert-base-nli-mean-tokens,1783392,sentence-similarity,109482752.0,"['sentence-transformers', 'pytorch', 'tf', 'jax', 'rust', 'onnx', 'safetensors', 'openvino', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'arxiv:1908.10084', 'license:apache-2.0', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
ionet-official/bc8-alpha,1772532,text-to-image,,"['diffusers', 'clip', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'diffusers:StableDiffusionPipeline', 'region:us']",apache-2.0,,,,,
MaziyarPanahi/Phi-3.5-mini-instruct-GGUF,1771146,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:microsoft/Phi-3.5-mini-instruct', 'base_model:quantized:microsoft/Phi-3.5-mini-instruct', 'region:us', 'imatrix', 'conversational']",,,Phi-3.5-mini-instruct-GGUF,,microsoft/Phi-3.5-mini-instruct,
lengyue233/content-vec-best,1764026,,,"['transformers', 'pytorch', 'hubert', 'doi:10.57967/hf/0479', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,
MaziyarPanahi/Yi-Coder-9B-Chat-GGUF,1762007,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:01-ai/Yi-Coder-9B-Chat', 'base_model:quantized:01-ai/Yi-Coder-9B-Chat', 'region:us', 'conversational']",,,Yi-Coder-9B-Chat-GGUF,,01-ai/Yi-Coder-9B-Chat,
nlpconnect/vit-gpt2-image-captioning,1755187,image-to-text,,"['transformers', 'pytorch', 'vision-encoder-decoder', 'image-text-to-text', 'image-to-text', 'image-captioning', 'doi:10.57967/hf/0222', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
MaziyarPanahi/Qwen2-7B-Instruct-GGUF,1753183,text-generation,,"['transformers', 'gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'llama-3', 'llama', 'base_model:Qwen/Qwen2-7B-Instruct', 'base_model:quantized:Qwen/Qwen2-7B-Instruct', 'region:us', 'conversational']",,,Qwen2-7B-Instruct-GGUF,,Qwen/Qwen2-7B-Instruct,
dandelin/vilt-b32-finetuned-vqa,1745171,visual-question-answering,,"['transformers', 'pytorch', 'vilt', 'visual-question-answering', 'arxiv:2102.03334', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
deepset/roberta-base-squad2,1729632,question-answering,124057092.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'roberta', 'question-answering', 'en', 'dataset:squad_v2', 'base_model:FacebookAI/roberta-base', 'base_model:finetune:FacebookAI/roberta-base', 'license:cc-by-4.0', 'model-index', 'endpoints_compatible', 'region:us']",cc-by-4.0,['squad_v2'],deepset/roberta-base-squad2,,['FacebookAI/roberta-base'],en
hustvl/vitmatte-small-composition-1k,1725327,,25816417.0,"['transformers', 'pytorch', 'safetensors', 'vitmatte', 'vision', 'arxiv:2305.15272', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
BAAI/bge-base-en-v1.5,1712595,feature-extraction,109482752.0,"['sentence-transformers', 'pytorch', 'onnx', 'safetensors', 'bert', 'feature-extraction', 'sentence-similarity', 'transformers', 'mteb', 'en', 'arxiv:2401.03462', 'arxiv:2312.15503', 'arxiv:2311.13534', 'arxiv:2310.07554', 'arxiv:2309.07597', 'license:mit', 'model-index', 'autotrain_compatible', 'text-embeddings-inference', 'endpoints_compatible', 'region:us']",mit,,bge-base-en-v1.5,,,['en']
jinaai/jina-embeddings-v3,1711459,feature-extraction,572310396.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'feature-extraction', 'sentence-similarity', 'mteb', 'sentence-transformers', 'custom_code', 'multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh', 'arxiv:2409.10173', 'license:cc-by-nc-4.0', 'model-index', 'region:eu']",cc-by-nc-4.0,,jina-embeddings-v3,,,"['multilingual', 'af', 'am', 'ar', 'as', 'az', 'be', 'bg', 'bn', 'br', 'bs', 'ca', 'cs', 'cy', 'da', 'de', 'el', 'en', 'eo', 'es', 'et', 'eu', 'fa', 'fi', 'fr', 'fy', 'ga', 'gd', 'gl', 'gu', 'ha', 'he', 'hi', 'hr', 'hu', 'hy', 'id', 'is', 'it', 'ja', 'jv', 'ka', 'kk', 'km', 'kn', 'ko', 'ku', 'ky', 'la', 'lo', 'lt', 'lv', 'mg', 'mk', 'ml', 'mn', 'mr', 'ms', 'my', 'ne', 'nl', 'no', 'om', 'or', 'pa', 'pl', 'ps', 'pt', 'ro', 'ru', 'sa', 'sd', 'si', 'sk', 'sl', 'so', 'sq', 'sr', 'su', 'sv', 'sw', 'ta', 'te', 'th', 'tl', 'tr', 'ug', 'uk', 'ur', 'uz', 'vi', 'xh', 'yi', 'zh']"
google/flan-t5-large,1710518,text2text-generation,783150080.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 't5', 'text2text-generation', 'en', 'fr', 'ro', 'de', 'multilingual', 'dataset:svakulenk0/qrecc', 'dataset:taskmaster2', 'dataset:djaym7/wiki_dialog', 'dataset:deepmind/code_contests', 'dataset:lambada', 'dataset:gsm8k', 'dataset:aqua_rat', 'dataset:esnli', 'dataset:quasc', 'dataset:qed', 'arxiv:2210.11416', 'arxiv:1910.09700', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,"['svakulenk0/qrecc', 'taskmaster2', 'djaym7/wiki_dialog', 'deepmind/code_contests', 'lambada', 'gsm8k', 'aqua_rat', 'esnli', 'quasc', 'qed']",,,,"['en', 'fr', 'ro', 'de', 'multilingual']"
amazon/chronos-t5-tiny,1706789,time-series-forecasting,8394496.0,"['transformers', 'safetensors', 't5', 'text2text-generation', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:2403.07815', 'arxiv:1910.10683', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,1705794,text-generation,1777088000.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'arxiv:2501.12948', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,1689213,text-generation,32763876352.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'arxiv:2501.12948', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,
peft-internal-testing/tiny-dummy-qwen2,1686796,text-generation,1217480.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'conversational', 'arxiv:1910.09700', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
deepseek-ai/DeepSeek-R1,1680994,text-generation,684531386000.0,"['transformers', 'safetensors', 'deepseek_v3', 'text-generation', 'conversational', 'custom_code', 'arxiv:2501.12948', 'license:mit', 'autotrain_compatible', 'fp8', 'region:us']",mit,,,,,
microsoft/mdeberta-v3-base,1667794,fill-mask,,"['transformers', 'pytorch', 'tf', 'deberta-v2', 'deberta', 'deberta-v3', 'mdeberta', 'fill-mask', 'multilingual', 'en', 'ar', 'bg', 'de', 'el', 'es', 'fr', 'hi', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh', 'arxiv:2006.03654', 'arxiv:2111.09543', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,"['multilingual', 'en', 'ar', 'bg', 'de', 'el', 'es', 'fr', 'hi', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh']"
hexgrad/Kokoro-82M,1661437,text-to-speech,,"['text-to-speech', 'en', 'arxiv:2306.07691', 'arxiv:2203.02395', 'base_model:yl4579/StyleTTS2-LJSpeech', 'base_model:finetune:yl4579/StyleTTS2-LJSpeech', 'doi:10.57967/hf/4329', 'license:apache-2.0', 'region:us']",apache-2.0,,,,['yl4579/StyleTTS2-LJSpeech'],['en']
MaziyarPanahi/Mixtral-8x22B-v0.1-GGUF,1649984,text-generation,,"['transformers', 'gguf', 'mixtral', 'text-generation', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', '16-bit', 'GGUF', 'moe', 'fr', 'en', 'es', 'it', 'de', 'base_model:v2ray/Mixtral-8x22B-v0.1', 'base_model:quantized:v2ray/Mixtral-8x22B-v0.1', 'license:apache-2.0', 'autotrain_compatible', 'region:us']",apache-2.0,,Mixtral-8x22B-v0.1-GGUF,,v2ray/Mixtral-8x22B-v0.1,"['fr', 'en', 'es', 'it', 'de']"
microsoft/codebert-base,1648514,feature-extraction,,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'roberta', 'feature-extraction', 'arxiv:2002.08155', 'endpoints_compatible', 'region:us']",,,,,,
katuni4ka/tiny-random-phi3,1646242,text-generation,3106032.0,"['transformers', 'safetensors', 'phi3', 'text-generation', 'conversational', 'custom_code', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
google-t5/t5-11b,1637589,translation,,"['transformers', 'pytorch', 'tf', 't5', 'text2text-generation', 'summarization', 'translation', 'en', 'fr', 'ro', 'de', 'multilingual', 'dataset:c4', 'arxiv:1805.12471', 'arxiv:1708.00055', 'arxiv:1704.05426', 'arxiv:1606.05250', 'arxiv:1808.09121', 'arxiv:1810.12885', 'arxiv:1905.10044', 'arxiv:1910.09700', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'region:us']",apache-2.0,['c4'],,,,"['en', 'fr', 'ro', 'de', 'multilingual']"
facebook/dinov2-base,1628409,image-feature-extraction,86580480.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
Helsinki-NLP/opus-mt-fr-en,1624957,translation,,"['transformers', 'pytorch', 'tf', 'jax', 'marian', 'text2text-generation', 'translation', 'fr', 'en', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Salesforce/blip-image-captioning-large,1620176,image-to-text,469733436.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'blip', 'image-text-to-text', 'image-captioning', 'image-to-text', 'arxiv:2201.12086', 'license:bsd-3-clause', 'endpoints_compatible', 'region:us']",bsd-3-clause,,,,,
stabilityai/stable-diffusion-xl-refiner-1.0,1616995,image-to-image,,"['diffusers', 'safetensors', 'stable-diffusion', 'image-to-image', 'arxiv:2307.01952', 'arxiv:2211.01324', 'arxiv:2108.01073', 'arxiv:2112.10752', 'license:openrail++', 'diffusers:StableDiffusionXLImg2ImgPipeline', 'region:us']",openrail++,,,,,
microsoft/deberta-v3-base,1607810,fill-mask,,"['transformers', 'pytorch', 'tf', 'rust', 'deberta-v2', 'deberta', 'deberta-v3', 'fill-mask', 'en', 'arxiv:2006.03654', 'arxiv:2111.09543', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,en
petals-team/StableBeluga2,1603342,text-generation,68976648192.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'en', 'dataset:conceptofmind/cot_submix_original', 'dataset:conceptofmind/flan2021_submix_original', 'dataset:conceptofmind/t0_submix_original', 'dataset:conceptofmind/niv2_submix_original', 'arxiv:2307.09288', 'arxiv:2306.02707', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,"['conceptofmind/cot_submix_original', 'conceptofmind/flan2021_submix_original', 'conceptofmind/t0_submix_original', 'conceptofmind/niv2_submix_original']",,,,['en']
MaziyarPanahi/phi-4-GGUF,1600228,text-generation,,"['gguf', 'mistral', 'quantized', '2-bit', '3-bit', '4-bit', '5-bit', '6-bit', '8-bit', 'GGUF', 'text-generation', 'base_model:microsoft/phi-4', 'base_model:quantized:microsoft/phi-4', 'region:us', 'conversational']",,,phi-4-GGUF,,microsoft/phi-4,
prs-eth/marigold-normals-lcm-v0-1,1597076,other,,"['diffusers', 'safetensors', 'normals-estimation', 'normals estimation', 'latent consistency model', 'image analysis', 'computer vision', 'in-the-wild', 'zero-shot', 'other', 'en', 'arxiv:2312.02145', 'license:apache-2.0', 'diffusers:MarigoldNormalsPipeline', 'region:us']",apache-2.0,,,,,['en']
theainerd/Wav2Vec2-large-xlsr-hindi,1592804,automatic-speech-recognition,315504320.0,"['transformers', 'pytorch', 'safetensors', 'wav2vec2', 'automatic-speech-recognition', 'hi', 'endpoints_compatible', 'region:us']",,,,,,['hi']
llava-hf/llava-onevision-qwen2-0.5b-ov-hf,1591173,image-text-to-text,893675552.0,"['transformers', 'onnx', 'safetensors', 'llava_onevision', 'image-text-to-text', 'vision', 'transformers.js', 'conversational', 'en', 'zh', 'dataset:lmms-lab/LLaVA-OneVision-Data', 'arxiv:2408.03326', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",apache-2.0,['lmms-lab/LLaVA-OneVision-Data'],,,,"['en', 'zh']"
amazon/chronos-t5-base,1574195,time-series-forecasting,201374976.0,"['transformers', 'safetensors', 't5', 'text2text-generation', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:2403.07815', 'arxiv:1910.10683', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
ybelkada/tiny-random-T5ForConditionalGeneration-calibrated,1570963,text2text-generation,1113248.0,"['transformers', 'pytorch', 'safetensors', 't5', 'text2text-generation', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",,,,,,
distil-whisper/distil-large-v3,1570081,automatic-speech-recognition,756405760.0,"['transformers', 'jax', 'tensorboard', 'onnx', 'safetensors', 'whisper', 'automatic-speech-recognition', 'audio', 'transformers.js', 'en', 'arxiv:2311.00430', 'arxiv:2210.13352', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,['en']
deepseek-ai/DeepSeek-R1-Distill-Llama-8B,1567337,text-generation,8030261248.0,"['transformers', 'safetensors', 'llama', 'text-generation', 'conversational', 'arxiv:2501.12948', 'license:mit', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",mit,,,,,
cross-encoder/ms-marco-MiniLM-L4-v2,1558144,text-classification,19165185.0,"['transformers', 'pytorch', 'jax', 'safetensors', 'bert', 'text-classification', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",apache-2.0,,,,,
Qwen/Qwen2.5-7B-Instruct,1557359,text-generation,7615616512.0,"['transformers', 'safetensors', 'qwen2', 'text-generation', 'chat', 'conversational', 'en', 'arxiv:2309.00071', 'arxiv:2407.10671', 'base_model:Qwen/Qwen2.5-7B', 'base_model:finetune:Qwen/Qwen2.5-7B', 'license:apache-2.0', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",apache-2.0,,,,Qwen/Qwen2.5-7B,['en']
CompVis/stable-diffusion-safety-checker,1555847,,,"['transformers', 'pytorch', 'clip', 'arxiv:2103.00020', 'arxiv:1910.09700', 'endpoints_compatible', 'region:us']",,,,,,
lmsys/vicuna-7b-v1.5,1534094,text-generation,,"['transformers', 'pytorch', 'llama', 'text-generation', 'arxiv:2307.09288', 'arxiv:2306.05685', 'license:llama2', 'autotrain_compatible', 'text-generation-inference', 'region:us']",llama2,,,,,
apple/OpenELM-1_1B-Instruct,1526388,text-generation,1079891456.0,"['transformers', 'safetensors', 'openelm', 'text-generation', 'custom_code', 'arxiv:2404.14619', 'license:apple-amlr', 'autotrain_compatible', 'region:us']",apple-amlr,,,,,
nvidia/speakerverification_en_titanet_large,1513460,,,"['nemo', 'speaker', 'speech', 'audio', 'speaker-verification', 'speaker-recognition', 'speaker-diarization', 'titanet', 'NeMo', 'pytorch', 'en', 'dataset:VOXCELEB-1', 'dataset:VOXCELEB-2', 'dataset:FISHER', 'dataset:switchboard', 'dataset:librispeech_asr', 'dataset:SRE', 'license:cc-by-4.0', 'model-index', 'region:us']",cc-by-4.0,"['VOXCELEB-1', 'VOXCELEB-2', 'FISHER', 'switchboard', 'librispeech_asr', 'SRE']",speakerverification_en_titanet_large,,,['en']
amazon/chronos-bolt-tiny,1506720,time-series-forecasting,8652672.0,"['safetensors', 't5', 'time series', 'forecasting', 'pretrained models', 'foundation models', 'time series foundation models', 'time-series', 'time-series-forecasting', 'arxiv:1910.10683', 'arxiv:2403.07815', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
google/owlv2-base-patch16-ensemble,1482285,zero-shot-object-detection,154966791.0,"['transformers', 'pytorch', 'safetensors', 'owlv2', 'zero-shot-object-detection', 'vision', 'arxiv:2306.09683', 'license:apache-2.0', 'region:us']",apache-2.0,,,,,
dbmdz/bert-large-cased-finetuned-conll03-english,1465961,token-classification,333588489.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'bert', 'token-classification', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,
microsoft/layoutlm-base-uncased,1454802,,112627968.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'layoutlm', 'en', 'arxiv:1912.13318', 'license:mit', 'endpoints_compatible', 'region:us']",mit,,,,,en
fiifinketia/akan-g2p,1453532,,299637760.0,"['tensorboard', 'safetensors', 't5', 'region:us']",,,,,,
nguyenvulebinh/wav2vec2-base-vi,1449397,,,"['transformers', 'pytorch', 'wav2vec2', 'pretraining', 'speech', 'vi', 'dataset:youtube-vi-13k-hours', 'license:cc-by-nc-4.0', 'endpoints_compatible', 'region:us']",cc-by-nc-4.0,['youtube-vi-13k-hours'],,,,vi
ggml-org/models,1439979,,,"['gguf', 'endpoints_compatible', 'region:us']",,,,,,
bigcode/starcoder2-3b,1434678,text-generation,3030371328.0,"['transformers', 'safetensors', 'starcoder2', 'text-generation', 'code', 'dataset:bigcode/the-stack-v2-train', 'arxiv:2305.13245', 'arxiv:2205.14135', 'arxiv:2004.05150', 'arxiv:2207.14255', 'arxiv:2402.19173', 'license:bigcode-openrail-m', 'model-index', 'autotrain_compatible', 'text-generation-inference', 'endpoints_compatible', 'region:us']",bigcode-openrail-m,['bigcode/the-stack-v2-train'],starcoder2-3b,,,
zhihan1996/DNABERT-2-117M,1426886,,,"['transformers', 'pytorch', 'biology', 'medical', 'custom_code', 'arxiv:2306.15006', 'endpoints_compatible', 'region:us']",,,,"['matthews_correlation', 'f1']",,
cardiffnlp/twitter-xlm-roberta-base-sentiment,1424416,text-classification,,"['transformers', 'pytorch', 'tf', 'xlm-roberta', 'text-classification', 'multilingual', 'arxiv:2104.12250', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",,,,,,multilingual
