model_id,downloads,tasks,parameters,tags,created_at,license,datasets,model_name,metrics,base_model,languages
microsoft/mdeberta-v3-base,1662800,fill-mask,,"['transformers', 'pytorch', 'tf', 'deberta-v2', 'deberta', 'deberta-v3', 'mdeberta', 'fill-mask', 'multilingual', 'en', 'ar', 'bg', 'de', 'el', 'es', 'fr', 'hi', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh', 'arxiv:2006.03654', 'arxiv:2111.09543', 'license:mit', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,mit,,,,,"['multilingual', 'en', 'ar', 'bg', 'de', 'el', 'es', 'fr', 'hi', 'ru', 'sw', 'th', 'tr', 'ur', 'vi', 'zh']"
google-bert/bert-large-uncased,1650271,fill-mask,336226108.0,"['transformers', 'pytorch', 'tf', 'jax', 'rust', 'safetensors', 'bert', 'fill-mask', 'en', 'dataset:bookcorpus', 'dataset:wikipedia', 'arxiv:1810.04805', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:04+00:00,apache-2.0,"['bookcorpus', 'wikipedia']",,,,en
microsoft/deberta-v3-base,1540659,fill-mask,,"['transformers', 'pytorch', 'tf', 'rust', 'deberta-v2', 'deberta', 'deberta-v3', 'fill-mask', 'en', 'arxiv:2006.03654', 'arxiv:2111.09543', 'license:mit', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,mit,,,,,en
Falconsai/nsfw_image_detection,87149791,image-classification,85800194.0,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-classification', 'arxiv:2010.11929', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2023-10-13 23:50:01+00:00,apache-2.0,,,,,
dima806/fairface_age_image_detection,83310067,image-classification,85805577.0,"['transformers', 'safetensors', 'vit', 'image-classification', 'dataset:nateraw/fairface', 'base_model:google/vit-base-patch16-224-in21k', 'base_model:finetune:google/vit-base-patch16-224-in21k', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2024-12-06 14:59:20+00:00,apache-2.0,['nateraw/fairface'],,"['accuracy', 'f1']",['google/vit-base-patch16-224-in21k'],
timm/mobilenetv3_small_100.lamb_in1k,67743823,image-classification,2554968.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1905.02244', 'license:apache-2.0', 'region:us']",2022-12-16 05:38:36+00:00,apache-2.0,['imagenet-1k'],,,,
timm/resnet50.a1_in1k,19168048,image-classification,25610152.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'arxiv:2110.00476', 'arxiv:1512.03385', 'license:apache-2.0', 'region:us']",2023-04-05 18:07:45+00:00,apache-2.0,,,,,
trpakov/vit-face-expression,11223397,image-classification,85804039.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'vit', 'image-classification', 'doi:10.57967/hf/2289', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-11-09 12:50:30+00:00,apache-2.0,,,,,
google/vit-base-patch16-224,8310530,image-classification,86567656.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'vit', 'image-classification', 'vision', 'dataset:imagenet-1k', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,"['imagenet-1k', 'imagenet-21k']",,,,
nateraw/vit-age-classifier,5317647,image-classification,85805577.0,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-classification', 'dataset:nateraw/fairface', 'doi:10.57967/hf/1259', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,,['nateraw/fairface'],,,,
timm/efficientnet_b3.ra2_in1k,4674467,image-classification,12320528.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1905.11946', 'license:apache-2.0', 'region:us']",2022-12-12 23:56:39+00:00,apache-2.0,['imagenet-1k'],,,,
WinKawaks/vit-small-patch16-224,3882218,image-classification,22050664.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'vit', 'image-classification', 'vision', 'dataset:imagenet', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet'],,,,
WinKawaks/vit-tiny-patch16-224,3405164,image-classification,5717416.0,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-classification', 'vision', 'dataset:imagenet', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet'],,,,
timm/resnet18.a1_in1k,3218216,image-classification,11699112.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'arxiv:2110.00476', 'arxiv:1512.03385', 'license:apache-2.0', 'region:us']",2023-04-05 18:02:50+00:00,apache-2.0,,,,,
rizvandwiki/gender-classification,2554091,image-classification,85800194.0,"['transformers', 'pytorch', 'tensorboard', 'safetensors', 'vit', 'image-classification', 'huggingpics', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-12-06 08:53:43+00:00,,,,['accuracy'],,
histai/SPIDER-thorax-model,1685019,image-classification,303895950.0,"['transformers', 'safetensors', 'SPIDERPatchClassifier', 'feature-extraction', 'image-classification', 'custom_code', 'dataset:histai/SPIDER-thorax', 'arxiv:2503.02876', 'base_model:histai/hibou-L', 'base_model:finetune:histai/hibou-L', 'license:cc-by-nc-4.0', 'region:us']",2025-03-04 10:26:58+00:00,cc-by-nc-4.0,['histai/SPIDER-thorax'],,,['histai/hibou-L'],
timm/mobilenetv3_large_100.ra_in1k,1405046,image-classification,5507432.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1905.02244', 'license:apache-2.0', 'region:us']",2022-12-16 05:38:07+00:00,apache-2.0,['imagenet-1k'],,,,
microsoft/beit-base-patch16-224-pt22k-ft22k,1288316,image-classification,,"['transformers', 'pytorch', 'jax', 'beit', 'image-classification', 'vision', 'dataset:imagenet', 'dataset:imagenet-21k', 'arxiv:2106.08254', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,"['imagenet', 'imagenet-21k']",,,,
timm/deit_tiny_patch16_224.fb_in1k,978507,image-classification,5717416.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2012.12877', 'license:apache-2.0', 'region:us']",2023-03-28 01:34:13+00:00,apache-2.0,['imagenet-1k'],,,,
AdamCodd/vit-base-nsfw-detector,892519,image-classification,86092034.0,"['transformers.js', 'onnx', 'safetensors', 'vit', 'image-classification', 'transformers', 'nlp', 'base_model:google/vit-base-patch16-384', 'base_model:quantized:google/vit-base-patch16-384', 'license:apache-2.0', 'model-index', 'region:us']",2024-01-03 20:10:17+00:00,apache-2.0,,,['accuracy'],google/vit-base-patch16-384,
apple/mobilevit-small,770200,image-classification,,"['transformers', 'pytorch', 'tf', 'coreml', 'mobilevit', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:2110.02178', 'license:other', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-05-30 12:43:23+00:00,other,['imagenet-1k'],,,,
timm/vit_base_patch16_224.augreg2_in21k_ft_in1k,663890,image-classification,86567656.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'dataset:imagenet-21k', 'arxiv:2106.10270', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2022-12-22 07:24:28+00:00,apache-2.0,"['imagenet-1k', 'imagenet-21k']",,,,
timm/tf_efficientnetv2_s.in21k_ft_in1k,595885,image-classification,21612360.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'dataset:imagenet-21k', 'arxiv:2104.00298', 'license:apache-2.0', 'region:us']",2022-12-13 00:19:21+00:00,apache-2.0,"['imagenet-1k', 'imagenet-21k']",,,,
amunchet/rorshark-vit-base,516114,image-classification,85800194.0,"['transformers', 'tensorboard', 'safetensors', 'vit', 'image-classification', 'vision', 'generated_from_trainer', 'dataset:imagefolder', 'base_model:google/vit-base-patch16-224-in21k', 'base_model:finetune:google/vit-base-patch16-224-in21k', 'license:apache-2.0', 'model-index', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2023-11-18 20:49:21+00:00,apache-2.0,['imagefolder'],rorshark-vit-base,['accuracy'],google/vit-base-patch16-224-in21k,
microsoft/swin-tiny-patch4-window7-224,383951,image-classification,28317166.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'swin', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:2103.14030', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet-1k'],,,,
imfarzanansari/skintelligent-acne,366767,image-classification,85802501.0,"['transformers', 'safetensors', 'vit', 'image-classification', 'en', 'license:mit', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2023-12-24 04:24:55+00:00,mit,,,['precision'],,['en']
timm/tf_mobilenetv3_large_minimal_100.in1k,363818,image-classification,3948688.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:1905.02244', 'license:apache-2.0', 'region:us']",2022-12-16 05:39:06+00:00,apache-2.0,['imagenet-1k'],,,,
microsoft/swinv2-tiny-patch4-window16-256,360506,image-classification,,"['transformers', 'pytorch', 'swinv2', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:2111.09883', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-06-14 06:17:52+00:00,apache-2.0,['imagenet-1k'],,,,
timm/convnext_tiny.in12k_ft_in1k,355252,image-classification,28589128.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'dataset:imagenet-12k', 'arxiv:2201.03545', 'license:apache-2.0', 'region:us']",2023-01-11 22:35:26+00:00,apache-2.0,"['imagenet-1k', 'imagenet-12k']",,,,
timm/mobilenetv2_100.ra_in1k,350034,image-classification,3538984.0,"['timm', 'pytorch', 'safetensors', 'image-classification', 'transformers', 'dataset:imagenet-1k', 'arxiv:2110.00476', 'arxiv:1801.04381', 'license:apache-2.0', 'region:us']",2022-12-13 00:00:26+00:00,apache-2.0,['imagenet-1k'],,,,
Marqo/nsfw-image-detection-384,255407,image-classification,5597762.0,"['timm', 'safetensors', 'image-classification', 'license:apache-2.0', 'region:us']",2024-11-20 23:38:53+00:00,apache-2.0,,,,,
microsoft/swin-base-patch4-window7-224,250181,image-classification,87825848.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'swin', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:2103.14030', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet-1k'],,,,
microsoft/resnet-50,249090,image-classification,25610152.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'resnet', 'image-classification', 'vision', 'dataset:imagenet-1k', 'arxiv:1512.03385', 'license:apache-2.0', 'autotrain_compatible', 'endpoints_compatible', 'region:us']",2022-03-16 15:42:43+00:00,apache-2.0,['imagenet-1k'],,,,
google/vit-base-patch16-224-in21k,13838528,image-feature-extraction,86389248.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'vit', 'image-feature-extraction', 'vision', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet-21k'],,,,
facebook/dinov2-small,6956094,image-feature-extraction,22056576.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-07-31 16:53:09+00:00,apache-2.0,,,,,
facebook/dinov2-base,1574061,image-feature-extraction,86580480.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'region:us']",2023-07-17 16:44:29+00:00,apache-2.0,,,,,
owkin/phikon,916447,feature-extraction,86389248.0,"['transformers', 'pytorch', 'safetensors', 'vit', 'image-feature-extraction', 'biology', 'medical', 'cancer', 'feature-extraction', 'en', 'dataset:owkin/nct-crc-he', 'dataset:owkin/camelyon16-features', 'license:other', 'endpoints_compatible', 'region:us']",2023-09-21 13:17:37+00:00,other,"['owkin/nct-crc-he', 'owkin/camelyon16-features']",,,,['en']
timm/vit_base_patch16_clip_224.openai,736347,image-feature-extraction,,"['timm', 'pytorch', 'open_clip', 'safetensors', 'image-feature-extraction', 'vision', 'transformers', 'arxiv:2103.00020', 'arxiv:1908.04913', 'license:apache-2.0', 'region:us']",2022-11-01 22:01:59+00:00,apache-2.0,,,,,
microsoft/rad-dino,576585,image-feature-extraction,86580480.0,"['transformers', 'safetensors', 'dinov2', 'image-feature-extraction', 'arxiv:2311.13668', 'arxiv:1910.09700', 'doi:10.57967/hf/3050', 'license:other', 'endpoints_compatible', 'region:us']",2024-05-17 17:29:49+00:00,other,,,,,
facebook/dinov2-large,508756,image-feature-extraction,304368640.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-07-17 16:47:01+00:00,apache-2.0,,,,,
facebook/dinov2-giant,179698,image-feature-extraction,1136480768.0,"['transformers', 'pytorch', 'safetensors', 'dinov2', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2304.07193', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2023-07-17 16:49:29+00:00,apache-2.0,,,,,
facebook/dino-vitb16,167803,image-feature-extraction,,"['transformers', 'pytorch', 'tf', 'vit', 'image-feature-extraction', 'dino', 'vision', 'dataset:imagenet-1k', 'arxiv:2104.14294', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet-1k'],,,,
nomic-ai/nomic-embed-vision-v1,154600,image-feature-extraction,92946688.0,"['transformers', 'onnx', 'safetensors', 'nomic_bert', 'feature-extraction', 'image-feature-extraction', 'custom_code', 'en', 'arxiv:2111.07991', 'license:apache-2.0', 'region:us']",2024-05-13 17:09:02+00:00,apache-2.0,,,,,['en']
facebook/dinov2-with-registers-giant,142608,image-feature-extraction,1136486912.0,"['transformers', 'safetensors', 'dinov2_with_registers', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2309.16588', 'arxiv:2010.11929', 'arxiv:2304.07193', 'arxiv:2111.06377', 'license:apache-2.0', 'region:us']",2024-12-21 15:52:03+00:00,apache-2.0,,,,,
google/vit-large-patch16-224-in21k,118388,image-feature-extraction,304351232.0,"['transformers', 'pytorch', 'tf', 'jax', 'safetensors', 'vit', 'image-feature-extraction', 'vision', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'arxiv:2006.03677', 'license:apache-2.0', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet-21k'],,,,
prov-gigapath/prov-gigapath,113329,image-feature-extraction,,"['timm', 'pytorch', 'vision', 'medical', 'image-feature-extraction', 'license:other', 'region:us']",2024-05-20 19:58:00+00:00,other,,,,,
timm/vit_large_patch14_reg4_dinov2.lvd142m,108298,image-feature-extraction,304370688.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2309.16588', 'arxiv:2304.07193', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2023-10-30 04:52:17+00:00,apache-2.0,,,,,
bioptimus/H-optimus-0,67254,image-feature-extraction,,"['timm', 'pytorch', 'image-feature-extraction', 'pathology', 'histology', 'medical imaging', 'self-supervised learning', 'vision transformer', 'foundation model', 'license:apache-2.0', 'region:us']",2024-07-30 17:31:15+00:00,apache-2.0,,,,,
MahmoodLab/UNI,54534,image-feature-extraction,,"['timm', 'pytorch', 'histology', 'pathology', 'vision', 'self-supervised', 'vit', 'image-feature-extraction', 'en', 'license:cc-by-nc-nd-4.0', 'region:us']",2024-03-19 15:13:58+00:00,cc-by-nc-nd-4.0,,,['accuracy'],,['en']
yujiepan/tiny-random-swin-patch4-window7-224,54068,image-feature-extraction,71250.0,"['transformers', 'pytorch', 'safetensors', 'swin', 'image-feature-extraction', 'endpoints_compatible', 'region:us']",2023-03-15 07:49:55+00:00,,,,,,
timm/vit_base_patch14_dinov2.lvd142m,52130,image-feature-extraction,86579712.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2304.07193', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2023-05-09 20:48:20+00:00,apache-2.0,,,,,
nomic-ai/nomic-embed-vision-v1.5,52083,image-feature-extraction,92946688.0,"['transformers', 'onnx', 'safetensors', 'nomic_bert', 'feature-extraction', 'image-feature-extraction', 'custom_code', 'en', 'arxiv:2111.07991', 'license:apache-2.0', 'region:us']",2024-06-01 23:42:03+00:00,apache-2.0,,,,,['en']
timm/vit_base_patch16_224.orig_in21k,47254,image-feature-extraction,85798656.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'dataset:imagenet-21k', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2023-11-16 23:00:33+00:00,apache-2.0,['imagenet-21k'],,,,
facebook/dinov2-with-registers-base,45598,image-feature-extraction,86583552.0,"['transformers', 'safetensors', 'dinov2_with_registers', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2309.16588', 'arxiv:2010.11929', 'arxiv:2304.07193', 'arxiv:2111.06377', 'license:apache-2.0', 'region:us']",2024-12-20 17:20:43+00:00,apache-2.0,,,,,
timm/vit_base_patch14_reg4_dinov2.lvd142m,45402,image-feature-extraction,86582016.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2309.16588', 'arxiv:2304.07193', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2023-10-30 04:48:08+00:00,apache-2.0,,,,,
facebook/dino-vits16,43259,image-feature-extraction,,"['transformers', 'pytorch', 'vit', 'image-feature-extraction', 'dino', 'vision', 'dataset:imagenet-1k', 'arxiv:2104.14294', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['imagenet-1k'],,,,
timm/vit_large_patch14_dinov2.lvd142m,39704,image-feature-extraction,304367616.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2304.07193', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2023-05-09 21:05:24+00:00,apache-2.0,,,,,
facebook/dinov2-with-registers-large,36014,image-feature-extraction,304372736.0,"['transformers', 'safetensors', 'dinov2_with_registers', 'image-feature-extraction', 'dino', 'vision', 'arxiv:2309.16588', 'arxiv:2010.11929', 'arxiv:2304.07193', 'arxiv:2111.06377', 'license:apache-2.0', 'region:us']",2024-12-21 15:23:51+00:00,apache-2.0,,,,,
timm/vit_small_patch14_dinov2.lvd142m,34187,image-feature-extraction,22056192.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2304.07193', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2023-05-09 21:09:24+00:00,apache-2.0,,,,,
timm/vit_base_patch16_224.mae,33852,image-feature-extraction,85798656.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2111.06377', 'arxiv:2010.11929', 'license:cc-by-nc-4.0', 'region:us']",2023-05-09 20:19:39+00:00,cc-by-nc-4.0,,,,,
StanfordAIMI/dinov2-base-xray-224,28881,image-feature-extraction,85725696.0,"['transformers', 'safetensors', 'dinov2', 'image-feature-extraction', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2024-02-08 06:54:39+00:00,apache-2.0,,,,,
timm/vit_base_patch16_224.dino,28555,image-feature-extraction,85798656.0,"['timm', 'pytorch', 'safetensors', 'image-feature-extraction', 'transformers', 'arxiv:2104.14294', 'arxiv:2010.11929', 'license:apache-2.0', 'region:us']",2022-12-22 07:26:27+00:00,apache-2.0,,,,,
TTPlanet/TTPLanet_SDXL_Controlnet_Tile_Realistic,27312,image-feature-extraction,,"['diffusers', 'Controlnet', 'Tile', 'stable diffustion', 'image-feature-extraction', 'license:openrail', 'region:us']",2024-03-02 03:45:43+00:00,openrail,,,,,
CIDAS/clipseg-rd64-refined,6338306,image-segmentation,150748019.0,"['transformers', 'pytorch', 'safetensors', 'clipseg', 'vision', 'image-segmentation', 'arxiv:2112.10003', 'license:apache-2.0', 'region:us']",2022-11-01 14:25:57+00:00,apache-2.0,,,,,
mattmdjaga/segformer_b2_clothes,3731207,image-segmentation,27362002.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'segformer', 'vision', 'image-segmentation', 'dataset:mattmdjaga/human_parsing_dataset', 'arxiv:2105.15203', 'license:mit', 'endpoints_compatible', 'region:us']",2022-11-24 09:48:16+00:00,mit,['mattmdjaga/human_parsing_dataset'],,,,
shi-labs/oneformer_coco_swin_large,1679681,image-segmentation,,"['transformers', 'pytorch', 'oneformer', 'vision', 'image-segmentation', 'dataset:ydshieh/coco_dataset_script', 'arxiv:2211.06220', 'license:mit', 'endpoints_compatible', 'region:us']",2022-11-15 20:25:10+00:00,mit,['ydshieh/coco_dataset_script'],,,,
briaai/RMBG-2.0,1486568,image-segmentation,220700242.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'image-segmentation', 'remove background', 'background', 'background-removal', 'Pytorch', 'vision', 'legal liability', 'transformers.js', 'custom_code', 'license:other', 'region:us']",2024-10-29 12:14:36+00:00,other,,,,,
facebook/mask2former-swin-large-cityscapes-semantic,1136062,image-segmentation,215952796.0,"['transformers', 'pytorch', 'safetensors', 'mask2former', 'vision', 'image-segmentation', 'dataset:coco', 'arxiv:2112.01527', 'arxiv:2107.06278', 'license:other', 'endpoints_compatible', 'region:us']",2023-01-05 00:18:47+00:00,other,['coco'],,,,
nvidia/segformer-b1-finetuned-ade-512-512,679414,image-segmentation,,"['transformers', 'pytorch', 'tf', 'segformer', 'vision', 'image-segmentation', 'dataset:scene_parse_150', 'arxiv:2105.15203', 'license:other', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,other,['scene_parse_150'],,,,
jonathandinu/face-parsing,657774,image-segmentation,84609491.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'segformer', 'vision', 'image-segmentation', 'nvidia/mit-b5', 'transformers.js', 'en', 'dataset:celebamaskhq', 'arxiv:2105.15203', 'endpoints_compatible', 'region:us']",2022-07-06 01:22:42+00:00,,['celebamaskhq'],,,,en
briaai/RMBG-1.4,562781,image-segmentation,44075590.0,"['transformers', 'pytorch', 'onnx', 'safetensors', 'SegformerForSemanticSegmentation', 'image-segmentation', 'remove background', 'background', 'background-removal', 'Pytorch', 'vision', 'legal liability', 'transformers.js', 'custom_code', 'license:other', 'region:us']",2023-12-12 19:52:35+00:00,other,,,,,
ZhengPeng7/BiRefNet,521764,image-segmentation,220700242.0,"['birefnet', 'safetensors', 'background-removal', 'mask-generation', 'Dichotomous Image Segmentation', 'Camouflaged Object Detection', 'Salient Object Detection', 'pytorch_model_hub_mixin', 'model_hub_mixin', 'image-segmentation', 'custom_code', 'arxiv:2401.03407', 'license:mit', 'endpoints_compatible', 'region:us']",2024-07-12 08:50:09+00:00,mit,,,,,
nvidia/segformer-b0-finetuned-ade-512-512,141725,image-segmentation,3753206.0,"['transformers', 'pytorch', 'tf', 'safetensors', 'segformer', 'vision', 'image-segmentation', 'dataset:scene_parse_150', 'arxiv:2105.15203', 'license:other', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,other,['scene_parse_150'],,,,
ZhengPeng7/BiRefNet-matting,119910,image-segmentation,220700242.0,"['birefnet', 'safetensors', 'background-removal', 'mask-generation', 'Image Matting', 'pytorch_model_hub_mixin', 'model_hub_mixin', 'image-segmentation', 'custom_code', 'arxiv:2401.03407', 'endpoints_compatible', 'region:us']",2024-10-06 10:30:05+00:00,,,,,,
shi-labs/oneformer_ade20k_swin_large,107676,image-segmentation,,"['transformers', 'pytorch', 'oneformer', 'vision', 'image-segmentation', 'universal-image-segmentation', 'dataset:scene_parse_150', 'arxiv:2211.06220', 'license:mit', 'endpoints_compatible', 'region:us']",2022-11-15 19:00:56+00:00,mit,['scene_parse_150'],,,,
openmmlab/upernet-convnext-small,85988,image-segmentation,,"['transformers', 'pytorch', 'upernet', 'vision', 'image-segmentation', 'en', 'arxiv:1807.10221', 'arxiv:2201.03545', 'license:mit', 'endpoints_compatible', 'region:us']",2023-01-13 14:24:39+00:00,mit,,openmmlab/upernet-convnext-small,,,en
facebook/mask2former-swin-large-ade-semantic,78595,image-segmentation,215986594.0,"['transformers', 'pytorch', 'safetensors', 'mask2former', 'vision', 'image-segmentation', 'dataset:coco', 'arxiv:2112.01527', 'arxiv:2107.06278', 'license:other', 'endpoints_compatible', 'region:us']",2023-01-05 12:25:00+00:00,other,['coco'],,,,
facebook/mask2former-swin-base-coco-panoptic,72230,image-segmentation,107415620.0,"['transformers', 'pytorch', 'safetensors', 'mask2former', 'vision', 'image-segmentation', 'dataset:coco', 'arxiv:2112.01527', 'arxiv:2107.06278', 'license:other', 'endpoints_compatible', 'region:us']",2023-01-02 16:06:26+00:00,other,['coco'],,,,
facebook/mask2former-swin-tiny-coco-instance,71937,image-segmentation,47450536.0,"['transformers', 'pytorch', 'safetensors', 'mask2former', 'vision', 'image-segmentation', 'dataset:coco', 'arxiv:2112.01527', 'arxiv:2107.06278', 'license:other', 'endpoints_compatible', 'region:us']",2022-12-23 11:15:51+00:00,other,['coco'],,,,
facebook/detr-resnet-50-panoptic,59552,image-segmentation,,"['transformers', 'pytorch', 'detr', 'image-segmentation', 'vision', 'dataset:coco', 'arxiv:2005.12872', 'license:apache-2.0', 'endpoints_compatible', 'region:us']",2022-03-02 23:29:05+00:00,apache-2.0,['coco'],,,,
sayeed99/segformer_b3_clothes,55978,image-segmentation,47237842.0,"['transformers', 'safetensors', 'segformer', 'vision', 'image-segmentation', 'dataset:mattmdjaga/human_parsing_dataset', 'arxiv:2105.15203', 'license:mit', 'endpoints_compatible', 'region:us']",2024-02-27 18:50:41+00:00,mit,['mattmdjaga/human_parsing_dataset'],,,,
Xenova/segformer-b0-finetuned-ade-512-512,54986,image-segmentation,3753206.0,"['transformers.js', 'onnx', 'segformer', 'image-segmentation', 'base_model:nvidia/segformer-b0-finetuned-ade-512-512', 'base_model:quantized:nvidia/segformer-b0-finetuned-ade-512-512', 'region:us']",2023-12-26 15:38:07+00:00,,,,,nvidia/segformer-b0-finetuned-ade-512-512,
sayeed99/segformer-b3-fashion,50383,image-segmentation,47260143.0,"['transformers', 'pytorch', 'safetensors', 'segformer', 'vision', 'image-segmentation', 'generated_from_trainer', 'dataset:sayeed99/fashion_segmentation', 'arxiv:2105.15203', 'license:other', 'endpoints_compatible', 'region:us']",2024-05-07 09:39:51+00:00,other,['sayeed99/fashion_segmentation'],segformer-b3-fashion,,,
